,TREFHT_global,TREFHT_abs,TREFHT_abs_std,TREFHT_RMS,TREFHT_RMS_std,TREFHT_mod,TREFHT_exa,TREFHTMX_global,TREFHTMX_abs,TREFHTMX_abs_std,TREFHTMX_RMS,TREFHTMX_RMS_std,TREFHTMX_mod,TREFHTMX_exa,P-E_global,P-E_abs,P-E_abs_std,P-E_RMS,P-E_RMS_std,P-E_mod,P-E_exa,PRECTMX_global,PRECTMX_abs,PRECTMX_abs_std,PRECTMX_RMS,PRECTMX_RMS_std,PRECTMX_mod,PRECTMX_exa,PRECT_global,PRECT_abs,PRECT_abs_std,PRECT_RMS,PRECT_RMS_std,PRECT_mod,PRECT_exa
0.1,3.6382784421426697,4.723815187049542,6.752398647708425,5.031908910970814,6.911744869773918,0.9992317077180612,0.0,3.529832077798001,4.834736481243121,3.577481810585903,5.3603629580310965,4.104867055849852,0.8635812236036667,0.0,-0.021791110511463055,0.1809167221300129,0.5260145797859476,0.35720773196298167,0.7703923320824149,0.005710166658356387,0.0,29.53786294518837,26.53067352927292,0.7714997901441762,33.73783180234694,0.9185215941164468,0.0,0.0,0.20438890863083864,0.3399710199040177,1.0863433817292378,0.4918302938185403,1.4486952797975219,0.03193862948044487,0.0
0.11,3.59837629530646,4.670021958054715,6.674716006053733,4.975367428259833,6.832349770775682,0.9994514449892513,0.0,3.489001371317034,4.775924256212349,3.5342218660557227,5.300242432460256,4.0575651853564505,0.917399530046676,0.0,-0.021436988918079176,0.17916687543913506,0.5205288135278008,0.35395646814142007,0.7618458589996983,0.007686638533593056,0.0,29.153105295167165,26.202035327578766,0.7621537385813275,33.33798108077153,0.9077748348875602,0.0,0.0,0.2011007235146347,0.33619996229295684,1.07384565181211,0.48657210902657344,1.43192536967014,0.05547170610012398,0.0
0.12,3.558474142422312,4.616228718293945,6.5970333261822525,4.918834512454117,6.752963739793011,0.9997808872695986,0.0,3.4481706632533333,4.7171120292377084,3.4909619190094685,5.240166850089675,4.010276698486929,0.950900677811741,0.0,-0.021082868716093647,0.17743010267044776,0.5150756581223053,0.3507181711109865,0.7533256826228236,0.010206344968959627,0.0,28.7683478080412,25.873585002756716,0.752811220929506,32.93857001453094,0.8970378118315704,0.0,0.0,0.19781253988033393,0.33243835957733325,1.0613647414979228,0.4813286051878272,1.4151776545910801,0.08561980865053578,0.0
0.13,3.518571998030047,4.562435495741473,6.519350702162519,4.862310478304298,6.673587224385876,0.9998904436347993,0.0,3.4073399623271516,4.658299813886186,3.4477019742908768,5.180137759954802,3.963002061296727,0.9681091519979816,0.0,-0.020728747656110345,0.1757064516727958,0.5096583731652412,0.34749320726324073,0.7448327189886609,0.015841475182858007,0.0,28.38359012398084,25.545304505440836,0.7434730292737458,32.53961430912393,0.886310869980757,0.0,0.0,0.1945243561494459,0.32868416762925223,1.048901259510542,0.47610023883552394,1.3984529177785694,0.11762380333384433,0.0
0.14,3.4786698237081137,4.508642222494605,6.4416679843993405,4.805795581081383,6.5942203993118484,1.0000000000000002,0.0,3.366509230161636,4.599487547416647,3.404442001255747,5.120156763566858,3.9157417668347727,0.9793972265699854,0.0,-0.020374626733931943,0.1739942167992504,0.5042683487806509,0.34428194691981445,0.7363679145540589,0.02133434758289778,0.0,27.998832267633404,25.217170553137116,0.734137966858652,32.14113092450818,0.8755943771685529,0.0009201311233386242,0.0,0.19123617025501313,0.32493763200043496,1.0364563265750073,0.47088751670175866,1.3817519784895151,0.14941301752663674,0.0
0.15,3.438767635618965,4.45484894967066,6.363985276135489,4.749290195415581,6.514863729183594,1.0000000000000002,0.0,3.325678479808664,4.540675267942738,3.361182013433853,5.0602255955952264,3.8684963381881765,0.9878637788320856,0.0,-0.02002050504794356,0.17229491226549049,0.4989077684814774,0.3410847846399822,0.7279322432459574,0.028464736775027553,0.0,27.614074357185736,24.88917737066144,0.7248071887446346,31.743137956516648,0.8648887294376336,0.0022961930151695624,0.0,0.1879479830365713,0.32119844242631884,1.0240329282406797,0.4656909711884089,1.3650757308020098,0.1785733578671476,0.0
0.16,3.3988655300169435,4.401055761643758,6.286302681882594,4.692794757137149,6.435517694382252,1.0000000000000002,0.0,3.2848478165506796,4.48186310191125,3.317922114404834,5.000346174265361,3.821266446111795,0.9922298905641749,0.0,-0.019666384782810215,0.17060759897260624,0.4935778777337277,0.33790211218926264,0.7195267404442919,0.03606938637475029,0.0,27.229317078400207,24.561395263552022,0.7154825401301068,31.34565466368811,0.8541943529749506,0.005404345776976362,0.0,0.18465980369084656,0.31746519891712993,1.0116255743665281,0.46051114985237307,1.348425114226097,0.20656819535095183,0.0
0.17,3.3589633592341417,4.347262499551109,6.208619995816792,4.6363094540103305,6.356182487336028,1.0000000000000002,0.0,3.2440170862640247,4.42305083870557,3.2746621397002182,4.940520165987621,3.7740524865511977,0.9951942989507603,0.0,-0.019312263113404123,0.16893187410015947,0.4882758735701356,0.33473435981523614,0.7111524668575734,0.043766607507121025,0.0,26.84455919462551,24.233874962539595,0.7061643746487315,30.948699474103915,0.8435116429612555,0.010255962101305848,0.0,0.18137161491682505,0.3137413615251176,0.9992401087019395,0.45534861105140045,1.3318010377767562,0.2381899115068323,0.0001093779925331365
0.18,3.319061179624991,4.293469227530389,6.130937281581716,4.579834741595984,6.276858571969136,1.0000000000000002,0.0,3.2031863460652605,4.364238552770203,3.231402153682917,4.880749627060087,3.7268551537276595,0.9966325251776607,0.0,-0.018958141717384608,0.1672709327701672,0.4830072230052439,0.3315819354275135,0.7028105379345301,0.05189495072891667,0.0,26.45980127438755,23.906484852416924,0.6968491909107953,30.552293475922415,0.8328410584654048,0.016984691116257857,0.0,0.1780834290726782,0.31002980899788807,0.9868787143871021,0.4502039702427425,1.3152045398936487,0.2708511203699808,0.0001093779925331365
0.19,3.2791590618590236,4.239676049963816,6.053254712331782,4.523371112501715,6.19754656635515,1.0000000000000002,0.0,3.162355678915083,4.305426407761935,3.1881422602043,4.821036767095786,3.679675170337289,0.9981168932310336,0.0,-0.018604021403255278,0.16562509369691447,0.4777730432107661,0.3284452898985951,0.6945021354238838,0.061537174697773735,0.0,26.07504396878535,23.579237564174324,0.6875375800564685,30.156459052287328,0.8221830957939102,0.02618373499816612,0.0,0.17479524668259505,0.3063318418755453,0.9745500171422208,0.4450778439923298,1.298636695629502,0.2982733985004497,0.0001093779925331365
